displayName,ngc_path,network_arch,is_backbone,
PoseClassificationNet,nvidia/tao/poseclassificationnet:trainable_v1.0,pose_classification,
Pointpillars,nvidia/tao/pointpillarnet:trainable_v1.0,pointpillars,
ReIdentification,nvidia/tao/reidentificationnet:trainable_v1.1,re_identification,
OCDNET,nvidia/tao/ocdnet:trainable_resnet18_v1.0,ocdnet,
OCDNET,nvidia/tao/ocdnet:trainable_resnet50_v1.0,ocdnet,
OCDNET,nvstaging/tao/ocdnet:trainable_ocdnet_vit_v1.0,ocdnet,
OCDNET,nvstaging/tao/ocdnet:trainable_ocdnet_vit_v1.1,ocdnet,
OCDNET,nvstaging/tao/ocdnet:trainable_ocdnet_vit_v1.2,ocdnet,
OCDNET,nvstaging/tao/ocdnet:trainable_ocdnet_vit_v1.3,ocdnet,
OCRNET,nvidia/tao/ocrnet:trainable_v1.0,ocrnet,
OCRNET,nvstaging/tao/ocrnet:trainable_v2.0,ocrnet,
Optical Inspection,nvidia/tao/optical_inspection:trainable_v1.0,optical_inspection,
PCB Classification,nvidia/tao/pcb_classification:trainable_v1.0,classification_pyt,
Visual ChangeNet-Classification,nvstaging/tao/crdaiov2_vit:c_radio_v2_base,visual_changenet_classify,True
Visual ChangeNet-Classification,nvidia/tao/visual_changenet_classification:visual_changenet_nvpcb_trainable_v1.0,visual_changenet_classify,True
Visual ChangeNet-Segmentation,nvidia/tao/visual_changenet_segmentation_levircd:visual_changenet_levircd_trainable_v1.0,visual_changenet_segment,
Visual ChangeNet-Classification,nvstaging/tao/changenet_classification:changenet_nvpcb_trainable_v1.0,visual_changenet_classify,
Visual ChangeNet-Segmentation,nvstaging/tao/changenet_segmentation:changenet_levircd_trainable_v1.0,visual_changenet_segment,
Visual ChangeNet-Segmentation,nvstaging/tao/changenet_segmentation_landsatscd:trainable_v1.0,visual_changenet_segment,
TAO Pretrained NVImageNet Classification,nvaie/nv_dinov2_classification_model:trainable_v1.1,classification_pyt,
TAO Pretrained NVImageNet Classification,nvaie/nv_dinov2_classification_model:trainable_v1.1,nvdinov2,
TAO Pretrained NVImageNet Classification,nvaie/imagenet_nv_dinov2:trainable_v1.1,classification_pyt,
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_gcvit_classification_nvimagenet:gcvit_xxtiny_nvimagenet,classification_pyt,
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_gcvit_classification_nvimagenet:gcvit_xtiny_nvimagenet,classification_pyt,
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_gcvit_classification_nvimagenet:gcvit_tiny_nvimagenet,classification_pyt,
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_gcvit_classification_nvimagenet:gcvit_small_nvimagenet,classification_pyt,
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_gcvit_classification_nvimagenet:gcvit_base_nvimagenet,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k_1k_384,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k_1k,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_1k_384,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_1k,classification_pyt,
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_384,classification_pyt,
